TIENDA;DIRECCION CAMARA Y COMERCIO;CIUDAD/MUNICIPIO;DEPARTAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG PONTEVEDRA;AV CRA 72 NO. 99 - 64;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG ALCAZARES;CARRERA 24 # 72-80/24;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG CHICO 93;CR 11 NO. 93 A - 65;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG PASADENA;CR 45 NO. 103 B - 51;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG CALLE 53;CL 53 NO. 10 - 46;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG CEREZOS 2;CL 80 C NO. 90 - 26;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG SUBA TABOR;AC 132 NO. 95 A - 10;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG BARRIOS UNIDOS;CR 64 NO. 74 - 36;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG LOURDES;CR 8 NO. 63 - 33;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG LORENCITA;CL 68 NO. 53 - 38;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG SUBA PTA DEL SOL;CL 139 NO. 108 - 04;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG EL REAL;CR 77 A NO. 65 A - 04;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG RIO CALLEJAS;AV CL 127 NO 7 - 77;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG TEATRO NACIONAL;CL 93 NO. 45 - 44;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG GAITAN;CR 55 B NO. 76-45;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG ENGATIVA MIRADOR;CL 64 NO. 120 - 45;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG ANTIGUO COUNTRY;CL 82 NO. 16 A - 24;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG ALHAMBRA;CR 50 NO. 118 - 46;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG CANTON NORTE;CL 106 NO. 7 - 25;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COTA CENTRO;CARRERA 5A N. 13A - 45;COTA ;CUNDINAMARCA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOG SANTA SOFIA;CR 29 B NO. 77 - 48;BOGOTµ D.C;BOGOTµ D.C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
