TIENDA;DIRECCION CAMARA Y COMERCIO;CIUDAD/MUNICIPIO;DEPARTAMENTO;BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA CONUCOS;CL 56 # 27 - 66 ;BUCARAMANGA;SANTANDER;Conucos ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PUERTO WILCHES SDER;CL 4 # 1 - 57 ;PUERTO WILCHES;SANTANDER;Puerto Wilches ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VILLA DEL ROSARIO;CARRERA 9 CALLE 5 Y 6 NRO 5-28;VILLA DEL ROSARIO;N. DE SANTANDER;GRAMALOTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OCA•A SANTA CLARA;CL 5 A # 48 - 15 ;OCA•A;N. DE SANTANDER;SANTA CLARA ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCUESTA 3  ESQUINAS;VEREDA COLINAS LOTE 73 MESA DE RUITOQUE;PIEDECUESTA;SANTANDER;Vereda Colinas ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUCUTA MOTILONES;CL 14 # 27 - 2 ;CUCUTA;N. DE SANTANDER;Motilones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUC LA LIBERTAD;CALLE 14 NRO 10-55 / 10-59 - La libertad;CUCUTA;N. DE SANTANDER;La libertad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N SDER CHINACOTA;CARRERA 5 CON CALLE 4 No 3-54/ 5-10 /5-24 ;CHINACOTA;N. DE SANTANDER;El Carmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARQUE DE LAS HERMANAS ;CL 5 # 6 - 39 ;PIEDECUESTA;SANTANDER;Hoyo Chiquito ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUCUTA CAOBOS;CL 15 # 1 E - 126 ;CUCUTA;N. DE SANTANDER;Los Caobos ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
