TIENDA;DIRECCION CAMARA Y COMERCIO;CIUDAD/MUNICIPIO;DEPARTAMENTO;BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUC PESCADERO;CL 5  5 117 118 BRR PESCADERO;CUCUTA;N. DE SANTANDER;PESCADERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRR BUENOS AIRES;CR 14 49 34;BARRANCABERMEJA;SANTANDER;Buenos Aires;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VR SIERRA NEVADA;CC SIERRA NEVADA PLAZA SUR LC 2;VILLA DEL ROSARIO;N. DE SANTANDER;AUTOPISTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUC SEVILLA;AV 7 A  3N  10 BRR SEVILLA LT 2;CUCUTA;N. DE SANTANDER;SEVILLS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAN EL PLAYON;CR 8 CL 10 IMPAR;EL PLAYON;SANTANDER;El playon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIENDITAS;LT 2 Y 3 SEC SANTA ANA;VILLA DEL ROSARIO;N. DE SANTANDER;SANTA ANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUATIGUARA;CR 3W 8N 253 LC 3 4 5 UR LA VEGA SAN ROQUE;PIEDECUESTA;SANTANDER;GUATIGUARA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAT LA FLORESTA;MZ A URB SIERRE DEL ESTE;LOS PATIOS;N. DE SANTANDER;La Floresta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ONCE NOVIEMBRE;AV 10  17 74 BRR ONCE DE NOVIEMB;LOS PATIOS;N. DE SANTANDER;ONCE DE NOVIEMBRE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENABASTOS;LT DE RESERVA 8  AV SEGUNDA CENA;CUCUTA;N. DE SANTANDER;CENTRAL ABASTOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLARQUI;CL 51 28 18;BUCARAMANGA;SANTANDER;BOLARQUI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DANUBIO;TV 48 57D 103;BARRANCABERMEJA;SANTANDER;DANUBIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LA VILLA;CR 8N 6 90 Y CR 8 8N 15 BRR 20 D;VILLA DEL ROSARIO;N. DE SANTANDER;20 DE JULIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIERRA ALTA;AV 4 6 2 BRR EL SOL LT 3;LOS PATIOS;N. DE SANTANDER;Tierra Linda ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIO DEL HATO;LC 13 MALL RIO DEL HATO;PIEDECUESTA;SANTANDER;RIO DEL HATO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MILLA DE ORO;LT 2 ET 2  CR 26 DEL BRR ARENALE;GIRON;SANTANDER;ARENALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ICARO;LT G URB ICARO PAR RESIDENCIAL;LOS PATIOS;N. DE SANTANDER;Lote G Urbanizaci¢n  ICARO Parque Residencial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SABANA DE TORRES;CL 16 24 69 BRR COMUNEROS;SABANA DE TORRES;SANTANDER;COMUNEROS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUEVO HORIZONTE;LAS MARIANAS  BRR EL RODEO;CUCUTA;N. DE SANTANDER;NUEVO HORIZONTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGUAS CALIENTES;CL 18 A 18 55 67 77;CUCUTA;N. DE SANTANDER;AGUAS CALIENTES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COROZAL;LT SAN CARGA KM 20 VIA PAMPLONA RECTA COROZAL;LOS PATIOS;N. DE SANTANDER;COROZAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNICO;TV METROPOLITANA 103 57 CC UNICO OUTLET LC 136;BUCARAMANGA;SANTANDER;FONTANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GIRON COLONIAL;KM 7  900  22 90 LC 38 CC GIRON;GIRON;SANTANDER;Centro Comercial Gir¢n Colonial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOPEZ CALLE 22;CL 22 14A 2;CUCUTA;N. DE SANTANDER;Alfonso Lopez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EDS SAN PEDRO;KM 7 AUT BUCARAMANGA PIEDECUESTA COSTADO O;PIEDECUESTA;SANTANDER;VALLE DE MENZULY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARQUE PARAPENTE;FCA EL MIRADOR VRD MESA RUITOQUE FLORIDABLANCA;FLORIDABLANCA;SANTANDER;RUITOQUE ALTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BORA;LT DE TERRENO VDA LAGUNETAS MUNICIPIO SAN JUAN DE GIR‡N;GIRON;SANTANDER;ALDEA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRADOS NORTE;Avenida 4 Calle 14 A Norte 14 AN -8 De la Urbanizaci¢n portachuelo;CUCUTA;N. DE SANTANDER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOS SANTOS;calle 17 #52- 5, barrio Antonia Santos;CUCUTA;N. DE SANTANDER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POBLADO CALLE 36;CL 36 - 23 #138;GIRON;SANTANDER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LA 61;CL 61 17 22;BUCARAMANGA;SANTANDER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EL DORADO;Calle 11 Carrera 30¶ BarrioˇElˇDorado;OCA•A;N. DE SANTANDER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VILLANUEVA ;TIENDA D1 VILLANUEVA CL 13 13 03;VILLANUEVA;SANTANDER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRAN COLOMBIA;Av. 11 y 12E 11E -62 LT 6 MZ Z Urbanizaci¢n Quinta Oriental Av. Gran Colombia Y Calle Gran Colombia # 11 este ? 32 ? 44 urbanizaci¢n Quinta Oriental,;CUCUTA;N. DE SANTANDER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAN GIL PLAZA;VIA SANGIL AL SOCORRO LT 1;SAN GIL;SANTANDER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOSQUES DEL ESTE;Anillo Vial Escobal| Urb. Bosques del Este| lote 7;CUCUTA;N. DE SANTANDER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BETANIA;AV 9 16 S 94 LLANITOS;CUCUTA;N. DE SANTANDER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
